name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Qi Wei,George Mason University,http://bioengineering.gmu.edu/faculty_page/wei,6otVU08AAAAJ,10131.0,40.0,1987.0
Harry Wechsler,George Mason University,https://cs.gmu.edu/~wechsler,mB_85m0AAAAJ,21632.0,60.0,1975.0
Xue Chen,George Mason University,https://sites.google.com/view/xuechencs/home,pOhKXhYAAAAJ,127.0,5.0,2011.0
Daniel A. Menascé,George Mason University,https://cs.gmu.edu/~menasce/menasce-web/menasce.html,ONloO5IAAAAJ,13693.0,54.0,1977.0
Gheorghe Tecuci,George Mason University,http://lac.gmu.edu/members/tecuci.htm,OrhUjqEAAAAJ,2519.0,26.0,1984.0
Shuochao Yao,George Mason University,https://yscacaca.github.io,JyE51wcAAAAJ,2051.0,22.0,2014.0
Yue Cheng,George Mason University,http://people.cs.vt.edu/yuec,UFAgKLgAAAAJ,8683.0,51.0,1997.0
Zoran Duric,George Mason University,https://cs.gmu.edu/~zduric,bVaZTY4AAAAJ,4577.0,22.0,1985.0
Mingrui Liu,George Mason University,https://mingrliu.github.io,KFoEnFQAAAAJ,581.0,13.0,
ThanhVu H. Nguyen,George Mason University,https://nguyenthanhvuh.github.io,TLcVQ-MAAAAJ,3075.0,15.0,2005.0
Giuseppe Ateniese,George Mason University,https://ateniese.github.io,EyZJ08MAAAAJ,21557.0,52.0,
Kevin Moran,George Mason University,https://www.kpmoran.com,CllWHUcAAAAJ,1449.0,22.0,2015.0
Amihai Motro,George Mason University,http://cs.gmu.edu/~ami,YPhI-YsAAAAJ,4552.0,34.0,1974.0
A. Jefferson Offutt,George Mason University,http://cs.gmu.edu/~offutt,fAeRp3kAAAAJ,22858.0,71.0,1952.0
Hassan Gomaa,George Mason University,http://mason.gmu.edu/~hgomaa,YjPRWAEAAAAJ,8021.0,43.0,1969.0
Fei Li,George Mason University,https://cs.gmu.edu/~lifei,ql6BXwcAAAAJ,1112.0,18.0,2000.0
Jana Kosecka,George Mason University,https://cs.gmu.edu/~kosecka,sQ6l4sMAAAAJ,11140.0,49.0,1992.0
Thomas D. LaToza,George Mason University,https://cs.gmu.edu/~tlatoza,200KNLAAAAAJ,2713.0,20.0,2001.0
Jessica Lin,George Mason University,http://cs.gmu.edu/~jessica,tRHOWkcAAAAJ,10023.0,32.0,2000.0
Parth H. Pathak,George Mason University,http://www.phpathak.com,VP4egzMAAAAJ,3354.0,19.0,2008.0
Sean Luke,George Mason University,https://cs.gmu.edu/~sean,jwxhFAQAAAAJ,11651.0,53.0,1992.0
Jan M. Allbeck,George Mason University,http://cs.gmu.edu/~jallbeck,GF-eRaMAAAAJ,3372.0,25.0,1997.0
Sanjeev Setia,George Mason University,https://cs.gmu.edu/~setia,UlbFDqoAAAAJ,7086.0,33.0,1990.0
Lap-Fai Craig Yu,George Mason University,http://www.cs.umb.edu/~craigyu,p_Un9ssAAAAJ,1749.0,20.0,2009.0
Arun K. Sood,George Mason University,http://cs.gmu.edu/~asood,,,,
Kai Zeng,George Mason University,https://ece.gmu.edu/people/full-time-faculty/kai-zeng,ErabYRMAAAAJ,4631.0,36.0,2005.0
Songqing Chen,George Mason University,https://cs.gmu.edu/~sqchen,T7IRM8EAAAAJ,6420.0,43.0,1985.0
Elizabeth L. White,George Mason University,https://cs.gmu.edu/~white,,,,
Jyh-Ming Lien,George Mason University,http://cs.gmu.edu/~jmlien,EnrEVb0AAAAJ,3479.0,31.0,1986.0
Kun Sun,George Mason University,https://csis.gmu.edu/ksun,u18hG4gAAAAJ,3687.0,32.0,2003.0
Sungsoo (Ray) Hong,George Mason University,http://www.rayhong.net,D5bxMHYAAAAJ,613.0,14.0,2007.0
S. Dov Gordon,George Mason University,http://cs.gmu.edu/~gordon,,,,
Bo Han,George Mason University,https://bohan00.github.io,BhRa314AAAAJ,5706.0,30.0,2000.0
Paul Ammann,George Mason University,https://cs.gmu.edu/~pammann,,,,
Daniel Barbará,George Mason University,https://cs.gmu.edu/~dbarbara,wtZwMSgAAAAJ,11322.0,46.0,1981.0
Antonios Anastasopoulos,George Mason University,https://cs.gmu.edu/directory/detail/100,g_G_SNAAAAAJ,1739.0,20.0,2021.0
Wing Lam,George Mason University,https://cs.gmu.edu/directory/detail/120,OXYaXQsAAAAJ,852.0,14.0,2014.0
Amarda Shehu,George Mason University,https://cs.gmu.edu/~ashehu,HkB_Gz0AAAAJ,2807.0,29.0,2004.0
Hakan Aydin,George Mason University,https://cs.gmu.edu/~aydin,MTMmNecAAAAJ,5654.0,37.0,1999.0
Carlotta Domeniconi,George Mason University,https://cs.gmu.edu/~carlotta,aKkIMogAAAAJ,6380.0,37.0,1997.0
J. Mark Pullen,George Mason University,http://netlab.gmu.edu/mpullen,,,,
Duminda Wijesekera,George Mason University,https://cs.gmu.edu/~duminda,,,,
Jinwei Ye,George Mason University,https://ivlab.cse.lsu.edu,ESpjkZoAAAAJ,563.0,8.0,2012.0
Grigory Yaroslavtsev,George Mason University,http://grigory.us,AbRFE3IAAAAJ,1307.0,18.0,2009.0
Robert Simon,George Mason University,https://cs.gmu.edu/~simon,o-K8emEAAAAJ,55139.0,111.0,2016.0
Erion Plaku,George Mason University,https://cs.gmu.edu/~plaku/index.html,DK3QY9sAAAAJ,2351.0,22.0,1999.0
Alexander Brodsky,George Mason University,https://cs.gmu.edu/~brodsky,,,,
Gregory J. Stein,George Mason University,https://volgenau.gmu.edu/profile/view/587166,4djS86UAAAAJ,586.0,11.0,2014.0
Eric Osterweil,George Mason University,https://cs.gmu.edu/directory,Jw1ccPYAAAAJ,2878.0,20.0,2003.0
Sanmay Das,George Mason University,https://volgenau.gmu.edu/profile/view/587176,HRSDO6IAAAAJ,2402.0,23.0,2001.0
Larry Kerschberg,George Mason University,http://mason.gmu.edu/~kersch,,,,
Ziyu Yao,George Mason University,https://ziyuyao.org,4lYrMNUAAAAJ,273.0,8.0,2016.0
Yotam I. Gingold,George Mason University,http://cs.gmu.edu/~ygingold,lFh34ncAAAAJ,1252.0,20.0,2004.0
Kenneth A. De Jong,George Mason University,https://cs.gmu.edu/~kdejong,,,,
Jim X. Chen,George Mason University,https://cs.gmu.edu/~jchen,929ovoAAAAAJ,7145.0,42.0,1975.0
Huzefa Rangwala,George Mason University,https://cs.gmu.edu/~hrangwal,yWJ9BqEAAAAJ,4652.0,33.0,2002.0
Brittany Johnson,George Mason University,https://volgenau.gmu.edu/profile/view/587171,,,,
Xinyuan Wang,George Mason University,http://cs.gmu.edu/~xwangc,8lzslzgAAAAJ,1180.0,7.0,2010.0
Dana Richards,George Mason University,https://cs.gmu.edu/~richards,,,,
David S. Rosenblum,George Mason University,https://cs.gmu.edu/~dsr/index.html,FyUQvCoAAAAJ,14959.0,56.0,1985.0
Pearl Y. Wang,George Mason University,http://cs.gmu.edu/~pwang,,,,
Foteini Baldimtsi,George Mason University,http://www.baldimtsi.com,Wrx-9LUAAAAJ,1163.0,15.0,2007.0
Bo Liu,George Mason University,https://liubo-cs.github.io,8MliTo4AAAAJ,1728.0,21.0,2010.0
Evgenios M. Kornaropoulos,George Mason University,https://cs.gmu.edu/~evgenios,2s0r_AkAAAAJ,475.0,9.0,2009.0
